Ga by my hous hit $ 3.39 ! ! ! ! I 'm go to Chapel Hill on Sat e1  positive 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 
Iranian gener say Israel 's Iron Dome ca n't deal with their missil keep talk like that and we may end up find out  negative 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 
with J Davlar 11th Main rival are team Poland Hope we an make it a success end to a tough week of train tomorrow  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 
Talk about ACT 's &amp &amp SAT 's decid where I want to go to college appli to colleg and everyth about colleg stress me out  negative 1 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
They may have a SuperBowl in Dallas but Dalla am not win a SuperBowl Not with that quarterback and owner ||T|| ||T||  negative 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0 
Im bring the monster load of candi tomorrow I just hope it doe n't get all squich  neutral 1 0 1 1 0 0 1 0 0 0 0 1 0 0 0 
Appl software retail chief out in overhaul SAN FRANCISCO Appl Inc CEO Tim Cook on Monday replac the heads. ||U||  objective-OR-neutral 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 
||T|| ||T|| ||T|| I just watch it ! Sridevi 's comeback.. U rememb her from the 90 ? ? Sun morn on NTA e0  positive 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 
Nadal confirm for Mexican Open in Februari Rafael Nadal is set to play at the Me. ||U||  objective 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
||T|| I didnt want to just pop up. but yep we have chapel hill next wednesday you should come and she great ill tell her you ask  positive 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 
||T|| ||T|| hmmmm Novemb is an odd releas date if true but if it becom big enough mayb she could sing it at Grammi  neutral 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 
US delist MKO from global terrorist list in line with Iran campaign Tehran Oct 30 IRNA - Secretary. ||U||  objective 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 
Good Morn Becki ! Thursday is go to be Fantast ! ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T|| ||T||  positive 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 
Expect light-moder rain over E Visaya Cebu Bohol Samar &amp Leyt have 30-70 % chanc of rain tonight ! Expect fair weather tomorrow !  objective 1 0 1 1 0 0 0 0 0 0 1 1 0 0 0 
One ticket left for the ||T|| game tomorrow ! Don't miss the rematch of the NFC Championship game against the NY Giant ! Hit me up !  positive 1 1 1 0 1 0 0 0 0 0 1 1 0 1 1 
AFC away fan on Saturday All thi stuff about the 'she said no chant It 's bollock When he ha the ball just turn your back on him  negative 1 1 1 1 0 0 0 0 0 0 0 1 0 0 1 
Whi is it so hard to find the ||T|| these day ? Went to 3 store for the Castl cover issu NONE Will search again tomorrow.  negative 0 1 1 0 1 0 0 0 1 0 0 1 0 0 1 
